R546	:EX_triodthy_b
R547	:EX_triodthysuf_b
R548	:EX_trp_L_b
R549	:EX_tststerone_b
R550	:EX_tststeroneglc_b
R551	:EX_tsul_b
R552	:EX_txa2_b
R553	:EX_tymsf_b
R554	:EX_tyr_L_b
R555	:EX_udp_b
R556	:EX_udpg_b
R557	:EX_udpgal_b
R558	:EX_ump_b
R559	:EX_ura_b
R560	:EX_urate_b
R561	:EX_urea_b
R562	:EX_uri_b
R563	:EX_utp_b
R564	:EX_vacc_b
R565	:EX_val_L_b
R566	:EX_vitd2_b
R567	:EX_vitd3_b
R568	:EX_whddca_b
R569	:EX_whhdca_b
R570	:EX_whtststerone_b
R571	:EX_xmp_b
R572	:EX_xolest2_hs_b
R573	:EX_xoltri24_b
R574	:EX_xoltri25_b
R575	:EX_xoltri27_b
R576	:EX_xyl_D_b
R577	:EX_xylt_b
R578	:EX_yvite_b
R579	:EX_retinal_b
R580	:EX_12htacr_b
R581	:EX_1331tacr_b
R582	:EX_13dmt_b
R583	:EX_14hmdz_b
R584	:EX_1513tacr_b
R585	:EX_1531tacr_b
R586	:EX_15dmt_b
R587	:EX_1hibup_S_b
R588	:EX_1hibupglu_S_b
R589	:EX_1hmdgluc_b
R590	:EX_1ohmdz_b
R591	:EX_2hatvacid_b
R592	:EX_2hatvacidgluc_b
R593	:EX_2hatvlac_b
R594	:EX_2hatvlacgluc_b
R595	:EX_2hibup_R_b
R596	:EX_2hibup_S_b
R597	:EX_2hibupglu_S_b
R598	:EX_31dmt_b
R599	:EX_35dhpvs_b
R600	:EX_35dsmv_b
R601	:EX_3hibup_R_b
R602	:EX_3hibup_S_b
R603	:EX_3hibupglu_S_b
R604	:EX_3hlvstacid_b
R605	:EX_3hpvs_b
R606	:EX_3hpvstet_b
R607	:EX_3hsmvacid_b
R608	:EX_3ispvs_b
R609	:EX_3ohacmp_b
R610	:EX_4bhglz_b
R611	:EX_4hatvacid_b
R612	:EX_4hatvlac_b
R613	:EX_4hmdgluc_b
R614	:EX_4ohmdz_b
R615	:EX_56dhpvs_b
R616	:EX_56eppvs_b
R617	:EX_5ohfvs_b
R618	:EX_5ohfvsglu_b
R619	:EX_6ahglz_b
R620	:EX_6bhglz_b
R621	:EX_6bhglzglc_b
R622	:EX_6csmvacid_b
R623	:EX_6epvs_b
R624	:EX_6hlvst_b
R625	:EX_6hmsmvacid_b
R626	:EX_6hsmvacid_b
R627	:EX_6melvacid_b
R628	:EX_6melvst_b
R629	:EX_6ohfvs_b
R630	:EX_6ohfvsglu_b
R631	:EX_7ahglz_b
R632	:EX_7bhglz_b
R633	:EX_7bhglzglc_b
R634	:EX_7hpvs_b
R635	:EX_acmp_b
R636	:EX_acmpglu_b
