G897	:HGNC:8923
G898	:HGNC:9592
G899	:HGNC:17890
G900	:HGNC:17822
G901	:HGNC:9599
G902	:HGNC:4458
G903	:HGNC:9603
G904	:HGNC:8896
G905	:HGNC:24008
G906	:HGNC:8898
G907	:HGNC:8903
G908	:HGNC:8909
G909	:HGNC:8905
G910	:HGNC:8906
G911	:HGNC:26965
G912	:HGNC:30029
G913	:HGNC:9604
G914	:HGNC:9605
G915	:HGNC:11573
G916	:HGNC:8582
G917	:HGNC:8940
G918	:HGNC:9588
G919	:HGNC:11504
G920	:HGNC:8994
G921	:HGNC:8995
G922	:HGNC:8996
G923	:HGNC:8983
G924	:HGNC:8984
G925	:HGNC:30031
G926	:HGNC:8981
G927	:HGNC:8978
G928	:HGNC:16977
G929	:HGNC:8975
G930	:HGNC:30035
G931	:HGNC:8980
G932	:HGNC:8976
G933	:HGNC:8979
G934	:HGNC:8977
G935	:HGNC:8108
G936	:HGNC:9060
G937	:HGNC:29185
G938	:HGNC:15917
G939	:HGNC:9059
G940	:HGNC:9061
G941	:HGNC:17175
G942	:HGNC:9056
G943	:HGNC:9055
G944	:HGNC:9065
G945	:HGNC:9066
G946	:HGNC:26462
G947	:HGNC:29037
G948	:HGNC:9063
G949	:HGNC:19218
G950	:HGNC:9062
G951	:HGNC:8972
G952	:HGNC:8971
G953	:HGNC:8973
G954	:HGNC:23786
G955	:HGNC:8997
G956	:HGNC:8998
G957	:HGNC:23785
G958	:HGNC:8974
G959	:HGNC:14135
G960	:HGNC:3046
G961	:HGNC:8964
G962	:HGNC:8960
G963	:HGNC:8957
G964	:HGNC:24791
G965	:HGNC:9031
G966	:HGNC:9036
G967	:HGNC:9038
G968	:HGNC:18554
G969	:HGNC:9039
G970	:HGNC:30040
G971	:HGNC:13414
G972	:HGNC:9030
G973	:HGNC:9029
G974	:HGNC:9033
G975	:HGNC:9115
G976	:HGNC:9114
G977	:HGNC:9141
G978	:HGNC:18360
G979	:HGNC:17269
G980	:HGNC:17313
G981	:HGNC:12705
G982	:HGNC:12706
G983	:HGNC:16431
G984	:HGNC:15894
G985	:HGNC:19365
G986	:HGNC:8598
G987	:HGNC:19366
G988	:HGNC:9226
G989	:HGNC:30042
G990	:HGNC:28883
G991	:HGNC:9229
G992	:HGNC:9228
G993	:HGNC:9230
G994	:HGNC:395
G995	:HGNC:28107
G996	:HGNC:8653
G997	:HGNC:8654
G998	:HGNC:25686
G999	:HGNC:9280
G1000	:HGNC:16753
G1001	:HGNC:3423
G1002	:HGNC:7218
G1003	:HGNC:8863
G1004	:HGNC:8548
G1005	:HGNC:8547
G1006	:HGNC:8546
G1007	:HGNC:17325
G1008	:HGNC:9453
G1009	:HGNC:9465
G1010	:HGNC:9462
G1011	:HGNC:9463
G1012	:HGNC:8999
G1013	:HGNC:19129
G1014	:HGNC:9577
G1015	:HGNC:9578
G1016	:HGNC:9587
G1017	:HGNC:15463
G1018	:HGNC:18431
G1019	:HGNC:19748
G1020	:HGNC:15919
G1021	:HGNC:9689
G1022	:HGNC:10540
G1023	:HGNC:23160
G1024	:HGNC:8819
G1025	:HGNC:9020
G1026	:HGNC:9021
G1027	:HGNC:12576
G1028	:HGNC:4632
G1029	:HGNC:30324
G1030	:HGNC:9940
G1031	:HGNC:29674
G1032	:HGNC:17964
G1033	:HGNC:19978
G1034	:HGNC:19979
G1035	:HGNC:19977
G1036	:HGNC:19975
G1037	:HGNC:30311
G1038	:HGNC:14423
G1039	:HGNC:24887
G1040	:HGNC:17296
G1041	:HGNC:10451
G1042	:HGNC:10452
G1043	:HGNC:26057
G1044	:HGNC:10293
G1045	:HGNC:10297
G1046	:HGNC:10862
G1047	:HGNC:10863
G1048	:HGNC:10864
G1049	:HGNC:10866
G1050	:HGNC:10860
G1051	:HGNC:17223
G1052	:HGNC:5193
G1053	:HGNC:5389
G1054	:HGNC:5200
G1055	:HGNC:19419
G1056	:HGNC:5194
G1057	:HGNC:5195
G1058	:HGNC:14178
G1059	:HGNC:5198
G1060	:HGNC:5196
G1061	:HGNC:17423
G1062	:HGNC:21755
G1063	:HGNC:17422
G1064	:HGNC:24464
G1065	:HGNC:714
G1066	:HGNC:1972
G1067	:HGNC:1973
G1068	:HGNC:1970
G1069	:HGNC:6938
G1070	:HGNC:1969
G1071	:HGNC:1971
G1072	:HGNC:13817
G1073	:HGNC:5201
G1074	:HGNC:19134
G1075	:HGNC:19133
G1076	:HGNC:4422
G1077	:HGNC:17366
G1078	:HGNC:26309
G1079	:HGNC:5028
G1080	:HGNC:10536
G1081	:HGNC:17720
G1082	:HGNC:11184
G1083	:HGNC:22204
G1084	:HGNC:18161
G1085	:HGNC:19686
G1086	:HGNC:19685
G1087	:HGNC:16253
G1088	:HGNC:11278
G1089	:HGNC:11277
G1090	:HGNC:3465
G1091	:HGNC:10817
G1092	:HGNC:7759
G1093	:HGNC:21328
G1094	:HGNC:10872
G1095	:HGNC:11240
G1096	:HGNC:18859
G1097	:HGNC:32949
G1098	:HGNC:14240
G1099	:HGNC:23764
G1100	:HGNC:11120
G1101	:HGNC:11121
G1102	:HGNC:29799
G1103	:HGNC:11177
G1104	:HGNC:11296
G1105	:HGNC:11179
G1106	:HGNC:11181
G1107	:HGNC:11180
G1108	:HGNC:11257
G1109	:HGNC:11123
G1110	:HGNC:11279
G1111	:HGNC:3629
G1112	:HGNC:11284
G1113	:HGNC:11285
G1114	:HGNC:19
G1115	:HGNC:6069
G1116	:HGNC:18080
G1117	:HGNC:10867
G1118	:HGNC:19342
G1119	:HGNC:19343
G1120	:HGNC:23364
G1121	:HGNC:10869
G1122	:HGNC:17827
